
V3= -1 to 1 in 0.01 step
NO. V3 I3
280 0.22 0.00018844
281 0.21 0.00017985
282 0.2 0.00017128
283 0.19 0.00016273
284 0.18 0.00015412
285 0.17 0.00014565
286 0.16 0.00013706
287 0.15 0.0001285
288 0.14 0.00011993
289 0.13 0.00011135
290 0.12 0.00010277
291 0.11 9.4205E-05
292 0.1 8.5696E-05
293 0.09 7.7131E-05
294 0.08 6.8516E-05
295 0.07 5.997E-05
296 0.06 5.1373E-05
297 0.05 4.2824E-05
298 0.04 3.4321E-05
299 0.03 2.5751E-05
300 0.02 1.718E-05
301 0.01 8.5911E-06
302 0 1.9092E-08
303 -0.01 -8.569E-06
304 -0.02 -1.7126E-05
305 -0.03 -2.5644E-05
306 -0.04 -3.4204E-05
307 -0.05 -4.2765E-05
308 -0.06 -5.1353E-05
309 -0.07 -5.9936E-05
310 -0.08 -6.8509E-05
311 -0.09 -7.7031E-05
312 -0.1 -8.5614E-05
313 -0.11 -9.4165E-05
314 -0.12 -0.00010273
315 -0.13 -0.000111309
316 -0.14 -0.00011988
317 -0.15 -0.00012842
318 -0.16 -0.00013698
319 -0.17 -0.00014553
320 -0.18 -0.00015411
321 -0.19 -0.0001627
322 -0.2 -0.00017126
323 -0.21 -0.00017975
324 -0.22 -0.00018833
325 -0.23 -0.00019694
326 -0.24 -0.00020549
327 -0.25 -0.00021409
328 -0.26 -0.00022264
329 -0.27 -0.00023113
330 -0.28 -0.0002397
331 -0.29 -0.00024827
332 -0.3 -0.00025684
333 -0.31 -0.00026543
334 -0.32 -0.00027397
335 -0.33 -0.00028255
336 -0.34 -0.00029108
337 -0.35 -0.00029965
338 -0.36 -0.00030823
339 -0.37 -0.00031677
340 -0.38 -0.00032532
341 -0.39 -0.00033387
342 -0.4 -0.00034243
343 -0.41 -0.00035102
344 -0.42 -0.00035957
345 -0.43 -0.00036817
346 -0.44 -0.0003767
347 -0.45 -0.00038522
348 -0.46 -0.00039379
349 -0.47 -0.00040232
350 -0.48 -0.00041086
351 -0.49 -0.00041949
352 -0.5 -0.00042805
353 -0.51 -0.00043653
354 -0.52 -0.00044507
355 -0.53 -0.00045373
356 -0.54 -0.00046222
357 -0.55 -0.00047079
358 -0.56 -0.00047939
359 -0.57 -0.00048787
360 -0.58 -0.00049641
361 -0.59 -0.000505
362 -0.6 -0.00051355
363 -0.61 -0.0005221
364 -0.62 -0.00053065
365 -0.63 -0.00053923
366 -0.64 -0.00054776
367 -0.65 -0.00055633
368 -0.66 -0.0005649
369 -0.67 -0.00057344
370 -0.68 -0.00058195
371 -0.69 -0.00059051
372 -0.7 -0.00059908
373 -0.71 -0.00060763
374 -0.72 -0.00061617
375 -0.73 -0.00062477
376 -0.74 -0.00063331
377 -0.75 -0.0006418
378 -0.76 -0.00065036
379 -0.77 -0.00065889
380 -0.78 -0.00066743
381 -0.79 -0.00067602
382 -0.8 -0.0006846
383 -0.81 -0.00069312
384 -0.82 -0.00070166
385 -0.83 -0.00071028
386 -0.84 -0.00071879
387 -0.85 -0.00072735
388 -0.86 -0.00073586
389 -0.87 -0.00074439
390 -0.88 -0.00075291
391 -0.89 -0.00076151
392 -0.9 -0.00077004
393 -0.91 -0.00077857
394 -0.92 -0.00078708
395 -0.93 -0.00079569
396 -0.94 -0.00080418
397 -0.95 -0.00081274
398 -0.96 -0.00082129
399 -0.97 -0.00082983
400 -0.98 -0.0008383
401 -0.99 -0.00084686
402 -1 -0.00085541
