
V3= -1 to 1 in 0.01 step
NO. V3 I3
 V A
1 -1 -0.0008554
2 -0.99 -0.00084687
3 -0.98 -0.00083831
4 -0.97 -0.00082985
5 -0.96 -0.0008213
6 -0.95 -0.00081273
7 -0.94 -0.00080418
8 -0.93 -0.00079566
9 -0.92 -0.00078709
10 -0.91 -0.0007786
11 -0.9 -0.00077004
12 -0.89 -0.00076153
13 -0.88 -0.00075296
14 -0.87 -0.00074441
15 -0.86 -0.00073585
16 -0.85 -0.00072733
17 -0.84 -0.00071881
18 -0.83 -0.00071025
19 -0.82 -0.00070169
20 -0.81 -0.00069314
21 -0.8 -0.00068457
22 -0.79 -0.00067608
23 -0.78 -0.00066745
24 -0.77 -0.00065891
25 -0.76 -0.00065037
26 -0.75 -0.0006418
27 -0.74 -0.00063328
28 -0.73 -0.00062476
29 -0.72 -0.00061618
30 -0.71 -0.0006076
31 -0.7 -0.00059903
32 -0.69 -0.00059055
33 -0.68 -0.00058198
34 -0.67 -0.00057344
35 -0.66 -0.0005649
36 -0.65 -0.00055632
37 -0.64 -0.00054774
38 -0.63 -0.0005392
39 -0.62 -0.00053069
40 -0.61 -0.0005221
41 -0.6 -0.00051355
42 -0.59 -0.00050505
43 -0.58 -0.00049644
44 -0.57 -0.00048789
45 -0.56 -0.00047938
46 -0.55 -0.0004708
47 -0.54 -0.0004622
48 -0.53 -0.00045369
49 -0.52 -0.00044511
50 -0.51 -0.00043653
51 -0.5 -0.00042804
52 -0.49 -0.00041954
53 -0.48 -0.0004109
54 -0.47 -0.00040235
55 -0.46 -0.00039378
56 -0.45 -0.0003852
57 -0.44 -0.00037669
58 -0.43 -0.00036815
59 -0.42 -0.00035959
60 -0.41 -0.000351
61 -0.4 -0.00034242
62 -0.39 -0.00033391
63 -0.38 -0.00032536
64 -0.37 -0.00031681
65 -0.36 -0.00030824
66 -0.35 -0.00029964
67 -0.34 -0.00029104
68 -0.33 -0.0002825
69 -0.32 -0.000274
70 -0.31 -0.00026542
71 -0.3 -0.00025685
72 -0.29 -0.00024834
73 -0.28 -0.00023972
74 -0.27 -0.00023115
75 -0.26 -0.00022265
76 -0.25 -0.00021406
77 -0.24 -0.00020546
78 -0.23 -0.0001969
79 -0.22 -0.00018835
80 -0.21 -0.00017976
81 -0.2 -0.00017126
82 -0.19 -0.00016275
83 -0.18 -0.00015411
84 -0.17 -0.00014555
85 -0.16 -0.00013696
86 -0.15 -0.0001284
87 -0.14 -0.00011987
88 -0.13 -0.0001113
89 -0.12 -0.00010274
90 -0.11 -9.4186E-05
91 -0.1 -8.5591E-05
92 -0.09 -7.7025E-05
93 -0.08 -6.8497E-05
94 -0.07 -5.9984E-05
95 -0.06 -5.1359E-05
96 -0.05 -4.2797E-05
97 -0.04 -3.4218E-05
98 -0.03 -2.5635E-05
99 -0.02 -1.7124E-05
100 -0.01 -8.5499E-06
101 0 2.0351E-08
102 0.01 8.596E-06
103 0.02 1.7176E-05
104 0.03 2.5742E-05
105 0.04 3.4305E-05
106 0.05 4.2822E-05
107 0.06 5.1423E-05
108 0.07 5.9971E-05
109 0.08 6.8536E-05
110 0.09 7.7111E-05
111 0.1 8.5687E-05
112 0.11 9.4195E-05
113 0.12 0.000102775
114 0.13 0.000111355
115 0.14 0.00011991
116 0.15 0.00012849
117 0.16 0.00013706
118 0.17 0.00014562
119 0.18 0.00015415
120 0.19 0.00016266
121 0.2 0.00017128
122 0.21 0.00017985
123 0.22 0.00018845
124 0.23 0.00019702
125 0.24 0.0002055
126 0.25 0.00021409
127 0.26 0.00022264
128 0.27 0.00023124
129 0.28 0.0002398
130 0.29 0.00024834
131 0.3 0.00025689
132 0.31 0.00026546
133 0.32 0.00027403
134 0.33 0.00028261
135 0.34 0.00029115
136 0.35 0.00029973
137 0.36 0.0003083
138 0.37 0.00031682
139 0.38 0.00032539
140 0.39 0.00033394
141 0.4 0.00034252
142 0.41 0.0003511
143 0.42 0.00035964
144 0.43 0.00036819
145 0.44 0.00037672
146 0.45 0.00038533
147 0.46 0.00039387
148 0.47 0.00040246
149 0.48 0.00041099
150 0.49 0.00041951
151 0.5 0.00042809
152 0.51 0.00043666
153 0.52 0.00044521
154 0.53 0.00045381
155 0.54 0.00046233
156 0.55 0.00047084
157 0.56 0.00047941
158 0.57 0.00048801
159 0.58 0.00049656
160 0.59 0.0005051
161 0.6 0.00051367
162 0.61 0.00052222
163 0.62 0.00053075
164 0.63 0.00053931
165 0.64 0.00054786
166 0.65 0.00055643
167 0.66 0.00056497
168 0.67 0.00057356
169 0.68 0.00058205
170 0.69 0.00059061
171 0.7 0.00059916
172 0.71 0.00060773
173 0.72 0.00061629
174 0.73 0.00062485
175 0.74 0.0006333
176 0.75 0.00064188
177 0.76 0.00065044
178 0.77 0.00065901
179 0.78 0.00066757
180 0.79 0.00067612
181 0.8 0.00068467
182 0.81 0.00069316
183 0.82 0.00070172
184 0.83 0.00071027
185 0.84 0.00071878
186 0.85 0.00072738
187 0.86 0.0007359
188 0.87 0.00074443
189 0.88 0.00075296
190 0.89 0.00076154
191 0.9 0.00077008
192 0.91 0.00077865
193 0.92 0.00078719
194 0.93 0.00079569
195 0.94 0.00080416
196 0.95 0.00081277
197 0.96 0.00082131
198 0.97 0.00082986
199 0.98 0.00083834
200 0.99 0.0008469
201 1 0.00085546
202 1 0.00085543
203 0.99 0.0008469
204 0.98 0.00083832
205 0.97 0.00082987
206 0.96 0.00082132
207 0.95 0.0008128
208 0.94 0.00080425
209 0.93 0.00079568
210 0.92 0.0007872
211 0.91 0.00077862
212 0.9 0.00077007
213 0.89 0.00076153
214 0.88 0.00075298
215 0.87 0.00074443
216 0.86 0.00073595
217 0.85 0.00072741
218 0.84 0.00071886
219 0.83 0.00071025
220 0.82 0.00070171
221 0.81 0.00069317
222 0.8 0.00068466
223 0.79 0.0006761
224 0.78 0.00066756
225 0.77 0.00065901
226 0.76 0.00065047
227 0.75 0.0006419
228 0.74 0.00063335
229 0.73 0.00062484
230 0.72 0.0006163
231 0.71 0.00060773
232 0.7 0.00059916
233 0.69 0.00059061
234 0.68 0.00058205
235 0.67 0.00057355
236 0.66 0.000565
237 0.65 0.00055644
238 0.64 0.0005479
239 0.63 0.00053931
240 0.62 0.00053075
241 0.61 0.00052225
242 0.6 0.00051369
243 0.59 0.0005051
244 0.58 0.00049654
245 0.57 0.00048798
246 0.56 0.00047942
247 0.55 0.00047085
248 0.54 0.00046237
249 0.53 0.00045379
250 0.52 0.00044521
251 0.51 0.00043665
252 0.5 0.00042808
253 0.49 0.0004195
254 0.48 0.00041099
255 0.47 0.00040244
256 0.46 0.00039388
257 0.45 0.00038532
258 0.44 0.00037676
259 0.43 0.00036817
260 0.42 0.00035966
261 0.41 0.00035111
262 0.4 0.00034252
263 0.39 0.00033395
264 0.38 0.00032537
265 0.37 0.00031681
266 0.36 0.00030832
267 0.35 0.00029974
268 0.34 0.00029118
269 0.33 0.0002826
270 0.32 0.00027403
271 0.31 0.00026546
272 0.3 0.00025689
273 0.29 0.00024838
274 0.28 0.00023978
275 0.27 0.00023123
276 0.26 0.00022267
277 0.25 0.00021407
278 0.24 0.00020552
279 0.23 0.000197
