
V3= -1 to 1 in 0.01 step
NO. V3 I3
 V A
1 -1 -0.0011152
2 -0.99 -0.001104
3 -0.98 -0.001093
4 -0.97 -0.0010819
5 -0.96 -0.0010705
6 -0.95 -0.0010595
7 -0.94 -0.0010483
8 -0.93 -0.0010371
9 -0.92 -0.0010261
10 -0.91 -0.001015
11 -0.9 -0.0010038
12 -0.89 -0.00099268
13 -0.88 -0.00098152
14 -0.87 -0.00097037
15 -0.86 -0.00095919
16 -0.85 -0.00094814
17 -0.84 -0.00093699
18 -0.83 -0.00092581
19 -0.82 -0.00091469
20 -0.81 -0.00090352
21 -0.8 -0.00089233
22 -0.79 -0.00088116
23 -0.78 -0.00087001
24 -0.77 -0.00085886
25 -0.76 -0.00084769
26 -0.75 -0.00083651
27 -0.74 -0.00082546
28 -0.73 -0.00081429
29 -0.72 -0.00080313
30 -0.71 -0.00079196
31 -0.7 -0.00078078
32 -0.69 -0.00076961
33 -0.68 -0.00075854
34 -0.67 -0.00074737
35 -0.66 -0.00073621
36 -0.65 -0.00072506
37 -0.64 -0.0007139
38 -0.63 -0.00070271
39 -0.62 -0.00069166
40 -0.61 -0.00068049
41 -0.6 -0.0006693
42 -0.59 -0.00065814
43 -0.58 -0.00064698
44 -0.57 -0.00063584
45 -0.56 -0.00062474
46 -0.55 -0.00061357
47 -0.54 -0.00060242
48 -0.53 -0.00059125
49 -0.52 -0.00058009
50 -0.51 -0.00056891
51 -0.5 -0.00055782
52 -0.49 -0.00054665
53 -0.48 -0.00053548
54 -0.47 -0.00052433
55 -0.46 -0.00051314
56 -0.45 -0.00050202
57 -0.44 -0.00049094
58 -0.43 -0.00047972
59 -0.42 -0.0004686
60 -0.41 -0.00045743
61 -0.4 -0.00044622
62 -0.39 -0.00043507
63 -0.38 -0.00042396
64 -0.37 -0.00041285
65 -0.36 -0.00040164
66 -0.35 -0.0003905
67 -0.34 -0.00037932
68 -0.33 -0.00036814
69 -0.32 -0.00035706
70 -0.31 -0.00034589
71 -0.3 -0.0003347
72 -0.29 -0.00032352
73 -0.28 -0.00031236
74 -0.27 -0.00030122
75 -0.26 -0.0002901
76 -0.25 -0.00027894
77 -0.24 -0.00026777
78 -0.23 -0.00025658
79 -0.22 -0.00024542
80 -0.21 -0.00023426
81 -0.2 -0.00022316
82 -0.19 -0.000212
83 -0.18 -0.00020083
84 -0.17 -0.00018967
85 -0.16 -0.00017848
86 -0.15 -0.00016734
87 -0.14 -0.00015625
88 -0.13 -0.00014505
89 -0.12 -0.00013385
90 -0.11 -0.00012272
91 -0.1 -0.00011154
92 -0.09 -0.00010037
93 -0.08 -8.927E-05
94 -0.07 -7.8103E-05
95 -0.06 -6.6936E-05
96 -0.05 -5.5762E-05
97 -0.04 -4.4594E-05
98 -0.03 -3.344E-05
99 -0.02 -2.2342E-05
100 -0.01 -1.1148E-05
101 0 9.359E-09
102 0.01 1.1178E-05
103 0.02 2.2346E-05
104 0.03 3.3519E-05
105 0.04 4.47E-05
106 0.05 5.5806E-05
107 0.06 6.6954E-05
108 0.07 7.8118E-05
109 0.08 8.9296E-05
110 0.09 0.000100448
111 0.1 0.000111631
112 0.11 0.00012273
113 0.12 0.00013391
114 0.13 0.00014506
115 0.14 0.00015624
116 0.15 0.00016742
117 0.16 0.00017856
118 0.17 0.00018973
119 0.18 0.0002008
120 0.19 0.000212
121 0.2 0.00022315
122 0.21 0.00023434
123 0.22 0.00024552
124 0.23 0.00025668
125 0.24 0.00026777
126 0.25 0.00027894
127 0.26 0.00029011
128 0.27 0.00030129
129 0.28 0.00031242
130 0.29 0.00032363
131 0.3 0.0003347
132 0.31 0.00034588
133 0.32 0.00035706
134 0.33 0.00036822
135 0.34 0.00037939
136 0.35 0.00039054
137 0.36 0.00040173
138 0.37 0.00041281
139 0.38 0.00042397
140 0.39 0.00043516
141 0.4 0.00044636
142 0.41 0.0004575
143 0.42 0.00046869
144 0.43 0.00047976
145 0.44 0.00049092
146 0.45 0.0005021
147 0.46 0.00051326
148 0.47 0.00052443
149 0.48 0.00053556
150 0.49 0.00054669
151 0.5 0.00055785
152 0.51 0.00056901
153 0.52 0.0005802
154 0.53 0.00059137
155 0.54 0.00060252
156 0.55 0.00061361
157 0.56 0.00062478
158 0.57 0.00063594
159 0.58 0.00064708
160 0.59 0.00065828
161 0.6 0.00066944
162 0.61 0.00068061
163 0.62 0.00069175
164 0.63 0.00070286
165 0.64 0.00071403
166 0.65 0.00072517
167 0.66 0.00073634
168 0.67 0.00074752
169 0.68 0.00075857
170 0.69 0.00076976
171 0.7 0.00078092
172 0.71 0.0007921
173 0.72 0.00080327
174 0.73 0.00081442
175 0.74 0.00082546
176 0.75 0.00083664
177 0.76 0.0008478
178 0.77 0.00085899
179 0.78 0.00087009
180 0.79 0.00088129
181 0.8 0.00089246
182 0.81 0.00090353
183 0.82 0.00091469
184 0.83 0.00092582
185 0.84 0.000937
186 0.85 0.00094815
187 0.86 0.00095933
188 0.87 0.0009704
189 0.88 0.00098156
190 0.89 0.00099273
191 0.9 0.0010039
192 0.91 0.00101503
193 0.92 0.00102623
194 0.93 0.00103725
195 0.94 0.00104842
196 0.95 0.00105958
197 0.96 0.00107076
198 0.97 0.0010819
199 0.98 0.00109297
200 0.99 0.00110416
201 1 0.0011153
